"country","lat","diagnosis","study_no","url","pubMedId","registry_ID","site_name","enrolment","pub_year","drugs","pub_title","region","lon","status","authors","other_drugs","t_design","multiRegional","diagnosticMethod","hiv_co_infection","disease","otherCountries"
India (IND),22.574963,Spleen/bone,"118",http://www.ncbi.nlm.nih.gov/pubmed/20668545,20668545,CTRI/2009/091/000765,"School of Tropical Medicine Kolkata, India",30,2010,Liposomal Amphotericin B (L-AmB),A curative immune profile one week after treatment of Indian kala-azar patients predicts success with a short-course liposomal amphotericin B therapy.,India Subcontinent,88.357584,Published,"Mondal S, Bhattacharya P, Rahaman M, Ali N, Goswami RP.",Amphotericin B; Liposomal Amphotericin B,Dose finding,0,Parasitological,Unspecified,vl,
Portugal,39.569589,Bone,"22",http://www.ncbi.nlm.nih.gov/pubmed/8708370,8708370,-9,Portugal - Site Unknown,10,1996,Liposomal Amphotericin B (L-AmB),Visceral leishmaniasis in HIV infected patients: treatment with high dose liposomal amphotericin B (AmBisome).,Mediterranean,-8.206907,Published,"Russo R, Nigro LC, Minniti S, Montineri A, Gradoni L, Caldeira L, Davidson RN.",Amphotericin B,Single Group,1,Parasitological,Yes,vl,"Tunisia, France"
India (IND),26.131728,Bone,"121",http://www.ncbi.nlm.nih.gov/pubmed/7983994,7983993,-9,"Darbhanga Medical College, Darbhanga, Bihar-846003, India",80,1994,Sodium stibogluconate,Amphotericin versus sodium stibogluconate in first-line treatment of Indian kala-azar.,India Subcontinent,85.896955,Published,"Mishra M, Biswas UK, Jha AM, Khan AB.",Sodium stibogluconate; Amphotericin B deoxycholate,Comparative,0,Parasitological,Unspecified,vl,
India (IND),26.131728,Bone,"121",http://www.ncbi.nlm.nih.gov/pubmed/7983994,7983993,-9,"Darbhanga Medical College, Darbhanga, Bihar-846003, India",80,1994,Amphotericin B - formulation unknown,Amphotericin versus sodium stibogluconate in first-line treatment of Indian kala-azar.,India Subcontinent,85.896955,Published,"Mishra M, Biswas UK, Jha AM, Khan AB.",Sodium stibogluconate; Amphotericin B deoxycholate,Comparative,0,Parasitological,Unspecified,vl,
India (IND),25.818891,Spleen,"156",http://www.ncbi.nlm.nih.gov/pubmed/7883660,7883659,-9,"Vaishali District, Bihar, India",25,1994,Amphotericin B - formulation unknown,Treatment of visceral Leishmaniasis unresponsive to pentamidine with amphotericin B.,India Subcontinent,85.343484,Published,Giri OP.,Amphotericin B,Single Group,0,Parasitological,Unspecified,vl,
Kenya (KEN),-1.313005,Spleen/bone/lymph,"66",http://www.ncbi.nlm.nih.gov/pubmed/21049060,21049060,NCT00255568,"Kenya Medical Research institute, Nairobi, Kenya",270,2010,Sodium stibogluconate,"Geographical variation in the response of visceral leishmaniasis to paromomycin in East Africa: a multicentre, open-label, randomized trial.",Eastern Africa,36.803282,Published,"Hailu A, Musa A, Wasunna M, Balasegaram M, Yifru S, Mengistu G, Hurissa Z, Hailu W, Weldegebreal T, Tesfaye S, Makonnen E, Khalil E, Ahmed O, Fadlalla A, El-Hassan A, Raheem M, Mueller M, Koummuki Y, Rashid J, Mbui J, Mucee G, Njoroge S, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Sudan, Ethiopia"
Kenya (KEN),-1.313005,Spleen/bone/lymph,"66",http://www.ncbi.nlm.nih.gov/pubmed/21049060,21049060,NCT00255568,"Kenya Medical Research institute, Nairobi, Kenya",270,2010,Paromomycin,"Geographical variation in the response of visceral leishmaniasis to paromomycin in East Africa: a multicentre, open-label, randomized trial.",Eastern Africa,36.803282,Published,"Hailu A, Musa A, Wasunna M, Balasegaram M, Yifru S, Mengistu G, Hurissa Z, Hailu W, Weldegebreal T, Tesfaye S, Makonnen E, Khalil E, Ahmed O, Fadlalla A, El-Hassan A, Raheem M, Mueller M, Koummuki Y, Rashid J, Mbui J, Mucee G, Njoroge S, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Sudan, Ethiopia"
Ethiopia (ETH),13.560317,Spleen/serological,"57",http://www.ncbi.nlm.nih.gov/pubmed/11816443,11816442,-9,Dansha Health Center,199,2001,Sodium stibogluconate,Ethiopian visceral leishmaniasis: generic and proprietary sodium stibogluconate are equivalent; HIV co-infected patients have a poor outcome.,Eastern Africa,36.96427,Published,"Ritmeijer K, Veeken H, Melaku Y, Leal G, Amsalu R, Seaman J, Davidson RN.",Sodium stibogluconate,Comparative,0,Mixed,Yes,vl,
India (IND),25.599832,Spleen/bone,"184",,,CTRI/2010/091/000299,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",180,,Liposomal Amphotericin B (L-AmB),"Rationalization of single dose 10 mg/kg/bw and 15 mg /kg/bw as compared to 5 mg/kg/bw for four days of Liposomal Amphotericin B with special reference to efficacy and safety profile for treatment of visceral leishmaniasis in Bihar, India�",India Subcontinent,85.195326,Active,Prabhat Kumar Sinha ,Liposomal Amphotericin B,Comparative,0,Parasitological,Unspecified,vl,
Sudan (SDN),13.845118,Spleen/bone/lymph,"104",http://www.ncbi.nlm.nih.gov/pubmed/22724030,22724030,NCT00255568,"Kassab Hospital, Ministry of Health, Gedaref State, Sudan",972,2012,Sodium stibogluconate,Sodium stibogluconate (SSG) & paromomycin combination compared to SSG for visceral leishmaniasis in East Africa: a randomised controlled trial.,Eastern Africa,35.422757,Published,"Musa A, Khalil E, Hailu A, Olobo J, Balasegaram M, Omollo R, Edwards T, Rashid J, Mbui J, Musa B, Abuzaid AA, Ahmed O, Fadlalla A, El-Hassan A, Mueller M, Mucee G, Njoroge S, Manduku V, Mutuma G, Apadet L, Lodenyo H, Mutea D, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Uganda, Ethiopia, Kenya"
Sudan (SDN),13.845118,Spleen/bone/lymph,"104",http://www.ncbi.nlm.nih.gov/pubmed/22724030,22724030,NCT00255568,"Kassab Hospital, Ministry of Health, Gedaref State, Sudan",972,2012,Paromomycin,Sodium stibogluconate (SSG) & paromomycin combination compared to SSG for visceral leishmaniasis in East Africa: a randomised controlled trial.,Eastern Africa,35.422757,Published,"Musa A, Khalil E, Hailu A, Olobo J, Balasegaram M, Omollo R, Edwards T, Rashid J, Mbui J, Musa B, Abuzaid AA, Ahmed O, Fadlalla A, El-Hassan A, Mueller M, Mucee G, Njoroge S, Manduku V, Mutuma G, Apadet L, Lodenyo H, Mutea D, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Uganda, Ethiopia, Kenya"
India (IND),27.259035,Unspecified,"248",,,,"Bihar, India -  Site Unknown",150,,Miltefosine,,India Subcontinent,84.017529,Not Published,,"",Comparative,0,Mixed,Yes,vl,
India (IND),27.259035,Unspecified,"248",,,,"Bihar, India -  Site Unknown",150,,Amphotericin B - formulation unknown,,India Subcontinent,84.017529,Not Published,,"",Comparative,0,Mixed,Yes,vl,
India (IND),25.620021,Spleen/bone,"52",http://www.ncbi.nlm.nih.gov/pubmed/10492770,10492769,-9,Patna Medical College Hospital,63,1999,Liposomal Amphotericin B (L-AmB),Dose-ranging studies on liposomal amphotericin B (L-AMP-LRC-1) in the treatment of visceral leishmaniasis.,India Subcontinent,85.159811,Published,"Bodhe PV, Kotwani RN, Kirodian BG, Pathare AV, Pandey AK, Thakur CP, Kshirsagar NA.",Liposomal Amphotericin B,Dose finding,1,Parasitological,Unspecified,vl,
Spain (ESP),40.475266,Spleen/bone/liver,"3",http://www.ncbi.nlm.nih.gov/pubmed/12888588,12888588,-9,"Servicio de Enfermedades Infecciosas, Hospital Carlos III",57,2003,Meglumine antimoniate,Amphotericin B lipid complex versus meglumine antimoniate in the treatment of visceral leishmaniasis in patients infected with HIV: a randomized pilot study.,Mediterranean,-3.6987343,Published,"Laguna F, Videla S, Jiménez-Mejías ME, Sirera G, Torre-Cisneros J, Ribera E, Prados D, Clotet B, Sust M,López-Vélez R, Alvar J; Spanish HIV-Leishmania Study Group.",Amphotericin B lipid complex; Meglumine antimoniate,Comparative,0,Parasitological,Yes,vl,
Spain (ESP),40.475266,Spleen/bone/liver,"3",http://www.ncbi.nlm.nih.gov/pubmed/12888588,12888588,-9,"Servicio de Enfermedades Infecciosas, Hospital Carlos III",57,2003,Amphotericin B lipid complex (ABLC),Amphotericin B lipid complex versus meglumine antimoniate in the treatment of visceral leishmaniasis in patients infected with HIV: a randomized pilot study.,Mediterranean,-3.6987343,Published,"Laguna F, Videla S, Jiménez-Mejías ME, Sirera G, Torre-Cisneros J, Ribera E, Prados D, Clotet B, Sust M,López-Vélez R, Alvar J; Spanish HIV-Leishmania Study Group.",Amphotericin B lipid complex; Meglumine antimoniate,Comparative,0,Parasitological,Yes,vl,
India (IND),26.118589,Spleen,"151",http://www.ncbi.nlm.nih.gov/pubmed/10999087,10999086,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",58,1999,Amphotericin B lipid complex (ABLC),Amphotericin B lipid complex in the management of antimony unresponsive Indian visceral leishmaniasis.,India Subcontinent,85.400719,Published,"Sundar S, Goyal AK, Mandal AK, Makharia MK, Singh VP, Murray HW.",Amphotericin B lipid complex,Dose finding,0,Parasitological,No,vl,
India (IND),25.599832,Spleen/bone,"178",,,CTRI/2015/05/005807,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",112,,Miltefosine,A randomized trial of AmBisome single therapy and combination of AmBisome and miltefosine for the treatment of Kala Azar in HIV positive patients in India,India Subcontinent,85.195326,Active,Krishna Pandey,Miltefosine; Liposomal Amphotericin B,Comparative,0,Parasitological,Unspecified,vl,
India (IND),25.599832,Spleen/bone,"178",,,CTRI/2015/05/005807,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",112,,Liposomal Amphotericin B (L-AmB),A randomized trial of AmBisome single therapy and combination of AmBisome and miltefosine for the treatment of Kala Azar in HIV positive patients in India,India Subcontinent,85.195326,Active,Krishna Pandey,Miltefosine; Liposomal Amphotericin B,Comparative,0,Parasitological,Unspecified,vl,
India (IND),26.118589,Spleen/bone,"173",http://www.ncbi.nlm.nih.gov/pubmed/25510716,25510716,CTRI/2011/11/002146,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",30,2015,Liposomal Amphotericin B (L-AmB),Single-dose indigenous liposomal amphotericin B in the treatment of Indian visceral leishmaniasis: a phase 2 study.,India Subcontinent,85.400719,Published,"Sundar S, Singh A, Rai M, Chakravarty J.",Liposomal Amphotericin B,Dose finding,0,Parasitological,No,vl,
Spain (ESP),41.427477,Unknown,"130",http://www.ncbi.nlm.nih.gov/pubmed/14636518,14636517,-1,Hospital Infantil Vall D'Hebron,32,2003,Liposomal Amphotericin B (L-AmB),[Short course treatment for visceral leishmaniasis with liposomal amphotericin B in immunocompetent patients].,Mediterranean,2.141047,Published,"Figueras Nadal MC, García de Miguel MJ, Asensi Botet F, Velasco Bernardo R, Canals Baeza A, Ausín Aoiz I.",Liposomal Amphotericin B,Single Group,0,Unspecified,No,vl,
India (IND),25.613271,Spleen,"33",http://www.ncbi.nlm.nih.gov/pubmed/7778156,7778155,-1,Tripolia social service hospital,136,1995,Sodium stibogluconate,Aminosidine plus sodium stibogluconate for the treatment of Indian kala-azar: a randomized dose-finding clinical trial.,India Subcontinent,85.18754,Published,"Thakur CP, Bhowmick S, Dolfi L, Olliaro P.",Sodium stibogluconate; Paromomycin,Dose finding,0,Parasitological,Unspecified,vl,
India (IND),25.613271,Spleen,"33",http://www.ncbi.nlm.nih.gov/pubmed/7778156,7778155,-1,Tripolia social service hospital,136,1995,Paromomycin,Aminosidine plus sodium stibogluconate for the treatment of Indian kala-azar: a randomized dose-finding clinical trial.,India Subcontinent,85.18754,Published,"Thakur CP, Bhowmick S, Dolfi L, Olliaro P.",Sodium stibogluconate; Paromomycin,Dose finding,0,Parasitological,Unspecified,vl,
India (IND),37.513805,Unknown,"24",http://www.ncbi.nlm.nih.gov/pubmed/7811891,7811891,-1,Istituto Malattie Infettive Universita Degli Studi Di Catania,10,1994,Liposomal Amphotericin B (L-AmB),Relapse of visceral leishmaniasis in patients who were coinfected with human immunodeficiency virus and who received treatment with liposomal amphotericin B.,Mediterranean,15.07061,Published,"Davidson RN, Russo R.",Amphotericin B,Single Group,0,Unspecified,Yes,vl,
India (IND),22.575014,Spleen,"171",http://www.ncbi.nlm.nih.gov/pubmed/26526927,26526927,CTRI/2009/091/000765,"Calcutta School of Tropical Medicine, Calcutta",120,2016,Liposomal Amphotericin B (L-AmB),Short-Course Treatment Regimen of Indian Visceral Leishmaniasis with an Indian Liposomal Amphotericin B Preparation (Fungisome™).,India Subcontinent,88.359621,Published,"Goswami RP, Goswami RP, Das S, Satpati A, Rahman M.",Liposomal Amphotericin B,Comparative,0,Parasitological,No,vl,
Sudan (SDN),13.845118,Spleen/bone/lymph,"89",http://www.ncbi.nlm.nih.gov/pubmed/24454972,24454972, NCT00832210,"Kassab Hospital, Ministry of Health, Gedaref State, Sudan",124,2014,Liposomal Amphotericin B (L-AmB),Safety and efficacy of single dose versus multiple doses of AmBisome for treatment of visceral leishmaniasis in eastern Africa: a randomised trial.,Eastern Africa,35.422757,Published,"Khalil EA, Weldegebreal T, Younis BM, Omollo R, Musa AM, Hailu W, Abuzaid AA, Dorlo TP, Hurissa Z, Yifru S, Haleke W, Smith PG, Ellis S, Balasegaram M, EL-Hassan AM, Schoone GJ, Wasunna M, Kimutai R, Edwards T, Hailu A.",Liposomal Amphotericin B,Dose finding,1,Parasitological,No,vl,Ethiopia
Brazil (BRA),-10.056544,Bone,"92",http://www.ncbi.nlm.nih.gov/pubmed/8783691,8783690,-9,Brazil - site unknown,88,1996,Liposomal Amphotericin B (L-AmB),Short-course treatment of visceral leishmaniasis with liposomal amphotericin B (AmBisome).,South America,-53.386253,Published,"Davidson RN, di Martino L, Gradoni L, Giacchino R, Gaeta GB, Pempinello R, Scotti S, Cascio A, Castagnola E, Maisto A, Gramiccia M, di Caprio D, Wilkinson RJ, Bryceson AD.",Liposomal Amphotericin B,Dose finding,1,Parasitological,No,vl,"Italy, United Kingdom"
Kenya (KEN),-1.3010129,Spleen,"147",http://www.ncbi.nlm.nih.gov/pubmed/6329011,6329010,-9,Kenyatta National Hospital,16,1984,Sodium stibogluconate,The response of Kenyan kala-azar to treatment with sodium stibogluconate.,Eastern Africa,36.805005,Published,"Rees PH, Kager PA, Wellde BT, Hockmeyer WT.",Sodium stibogluconate,Single Group,0,Parasitological,Unspecified,vl,
Kenya (KEN),-1.313005,Spleen,"28",http://www.ncbi.nlm.nih.gov/pubmed/16282296,16282296,-9,Kenya Medical Research institute,97,2005,Sitamaquine,A phase II dose-increasing study of sitamaquine for the treatment of visceral leishmaniasis in Kenya.,Eastern Africa,36.803282,Published,"Wasunna MK, Rashid JR, Mbui J, Kirigi G, Kinoti D, Lodenyo H, Felton JM, Sabin AJ, Albert MJ, Horton J.",Sitamaquine,Dose finding,0,Parasitological,No,vl,
Kenya (KEN),-1.313005,Spleen/bone/lymph,"103",http://www.ncbi.nlm.nih.gov/pubmed/22724032,22724032,NCT00255570,"Kenya Medical Research institute, Nairobi, Kenya",972,2012,Sodium stibogluconate,Sodium stibogluconate (SSG) & paromomycin combination compared to SSG for visceral leishmaniasis in East Africa: a randomised controlled trial.,Eastern Africa,36.803282,Published,"Musa A, Khalil E, Hailu A, Olobo J, Balasegaram M, Omollo R, Edwards T, Rashid J, Mbui J, Musa B, Abuzaid AA, Ahmed O, Fadlalla A, El-Hassan A, Mueller M, Mucee G, Njoroge S, Manduku V, Mutuma G, Apadet L, Lodenyo H, Mutea D, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Uganda, Ethiopia, Sudan"
Kenya (KEN),-1.313005,Spleen/bone/lymph,"103",http://www.ncbi.nlm.nih.gov/pubmed/22724032,22724032,NCT00255570,"Kenya Medical Research institute, Nairobi, Kenya",972,2012,Paromomycin,Sodium stibogluconate (SSG) & paromomycin combination compared to SSG for visceral leishmaniasis in East Africa: a randomised controlled trial.,Eastern Africa,36.803282,Published,"Musa A, Khalil E, Hailu A, Olobo J, Balasegaram M, Omollo R, Edwards T, Rashid J, Mbui J, Musa B, Abuzaid AA, Ahmed O, Fadlalla A, El-Hassan A, Mueller M, Mucee G, Njoroge S, Manduku V, Mutuma G, Apadet L, Lodenyo H, Mutea D, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Uganda, Ethiopia, Sudan"
Sudan (SDN),9.6655153,Spleen/bone/lymph,"55",http://www.ncbi.nlm.nih.gov/pubmed/8394862,8394861,-1,"Western Upper Nile, Sudan",200,1993,Sodium stibogluconate,Epidemic visceral leishmaniasis in Sudan: a randomized trial of aminosidine plus sodium stibogluconate versus sodium stibogluconate alone.,Eastern Africa,28.873127,Published,"Seaman J, Pryce D, Sondorp HE, Moody A, Bryceson AD, Davidson RN.",Sodium stibogluconate; Paromomycin,Comparative,0,Parasitological,Unspecified,vl,
Sudan (SDN),9.6655153,Spleen/bone/lymph,"55",http://www.ncbi.nlm.nih.gov/pubmed/8394862,8394861,-1,"Western Upper Nile, Sudan",200,1993,Paromomycin,Epidemic visceral leishmaniasis in Sudan: a randomized trial of aminosidine plus sodium stibogluconate versus sodium stibogluconate alone.,Eastern Africa,28.873127,Published,"Seaman J, Pryce D, Sondorp HE, Moody A, Bryceson AD, Davidson RN.",Sodium stibogluconate; Paromomycin,Comparative,0,Parasitological,Unspecified,vl,
India (IND),26.131728,Bone,"144",http://www.ncbi.nlm.nih.gov/pubmed/1673013,1673012,-1,"Darbhanga Medical College, Darbhanga, Bihar-846003, India",15,1991,Amphotericin B - formulation unknown,Amphotericin B for second-line treatment of Indian kala-azar.,India Subcontinent,85.896955,Published,"Mishra M, Singh MP, Choudhury D, Singh VP, Khan AB.",Amphotericin B,Single Group,0,Parasitological,Unspecified,vl,
Kenya (KEN),0.46502,,"215",,,NCT03129647,"Kimalel Health Centre, Kimalel, Rift Valley, Kenya",576,,Miltefosine,Miltefosine/Paromomycin Phase III Trial for Treatment of Primary Visceral Leishmaniasis (VL) Patients in Eastern Africa,Eastern Africa,35.891689,Active,"Jane Mbui,  Joseph Olobo,  Ahmed M Musa, Rezika Mohammed",Miltefosine; Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,No,vl,"Ethiopia, Sudan, Uganda"
Kenya (KEN),0.46502,,"215",,,NCT03129647,"Kimalel Health Centre, Kimalel, Rift Valley, Kenya",576,,Sodium stibogluconate,Miltefosine/Paromomycin Phase III Trial for Treatment of Primary Visceral Leishmaniasis (VL) Patients in Eastern Africa,Eastern Africa,35.891689,Active,"Jane Mbui,  Joseph Olobo,  Ahmed M Musa, Rezika Mohammed",Miltefosine; Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,No,vl,"Ethiopia, Sudan, Uganda"
Kenya (KEN),0.46502,,"215",,,NCT03129647,"Kimalel Health Centre, Kimalel, Rift Valley, Kenya",576,,Paromomycin,Miltefosine/Paromomycin Phase III Trial for Treatment of Primary Visceral Leishmaniasis (VL) Patients in Eastern Africa,Eastern Africa,35.891689,Active,"Jane Mbui,  Joseph Olobo,  Ahmed M Musa, Rezika Mohammed",Miltefosine; Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,No,vl,"Ethiopia, Sudan, Uganda"
Bangladesh (BGD),24.704209,,"199",,,NCT01240473,"Community Based Medical College, Trishal,Mymensingh, Bangladesh",200,,Sodium stibogluconate,"A Pilot Study for Capacity Building for a Multi-centre, Randomized Trial for Treatment of Kala Azar in Bangladesh",India Subcontinent,90.388805,Completed,Kazi M Jamil,Sodium stibogluconate,Single Group,0,Mixed,Unspecified,vl,
Sudan (SDN),13.583108,Lymph/serological,"162",http://www.ncbi.nlm.nih.gov/pubmed/16730363,16730363,-1,Um el Kheir Treatment Center,64,2006,Liposomal Amphotericin B (L-AmB),Unresponsiveness to AmBisome in some Sudanese patients with kala-azar.,Eastern Africa,35.087274,Published,"Mueller M, Ritmeijer K, Balasegaram M, Koummuki Y, Santana MR, Davidson R.",Liposomal Amphotericin B,Single Group,0,Mixed,Yes,vl,
Iran (Islamic Republic of) (IRN),29.629926,Serological,"167",http://www.ncbi.nlm.nih.gov/pubmed/19478699,19478699,-9,Shiraz University of Medical Sciences,20,2009,Meglumine antimoniate,Effect of meglumine antimoniate on the pancreas during treatment of visceral leishmaniasis in children.,Central Asia,52.521502,Published,"Shahian M, Alborzi A.",Meglumine antimoniate,Single Group,0,Serological,No,vl,
Brazil (BRA),-3.744724,Bone,"205",https://www.ncbi.nlm.nih.gov/pubmed/28662038,28662038,NCT01310742,"Sao José Hospital of Infectious Diseases, Fortaleza, Ceará",378,2017,Meglumine antimoniate,"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-38.558217,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
Brazil (BRA),-3.744724,Bone,"205",https://www.ncbi.nlm.nih.gov/pubmed/28662038,28662038,NCT01310742,"Sao José Hospital of Infectious Diseases, Fortaleza, Ceará",378,2017,Amphotericin B deoxycholate,"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-38.558217,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
Brazil (BRA),-3.744724,Bone,"205",https://www.ncbi.nlm.nih.gov/pubmed/28662038,28662038,NCT01310742,"Sao José Hospital of Infectious Diseases, Fortaleza, Ceará",378,2017,Liposomal Amphotericin B (L-AmB),"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-38.558217,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
India (IND),25.620021,Spleen,"36",http://www.ncbi.nlm.nih.gov/pubmed/8477210,8477209,-9,Patna Medical College Hospital,300,1993,Amphotericin B deoxycholate,Amphotericin B in resistant kala-azar in Bihar.,India Subcontinent,85.159811,Published,"Thakur CP, Sinha GP, Pandey AK, Barat D, Sinha PK.",Amphotericin B,Single Group,0,Parasitological,Unspecified,vl,
Kenya (KEN),1.4369484,Spleen/serological,"40",http://www.ncbi.nlm.nih.gov/pubmed/11417034,11417033,-9,"Ortum Mission Hosppital, West pokot,Kenya",102,2001,Sodium stibogluconate,Comparison of generic and proprietary sodium stibogluconate for the treatment of visceral leishmaniasis in Kenya.,Eastern Africa,35.353392,Published,"Moore E, O'Flaherty D, Heuvelmans H, Seaman J, Veeken H, de Wit S, Davidson RN.",Sodium stibogluconate,Comparative,0,Mixed,Unspecified,vl,
India (IND),26.131569,Spleen/bone,"4",http://www.ncbi.nlm.nih.gov/pubmed/8409490,8409490,-9,Darbhanga Medical College and Hospital,27,1993,Amphotericin B - formulation unknown,Amphotericin B therapy in kala-azar.,India Subcontinent,85.899149,Published,Giri OP.,Amphotericin B,Single Group,0,Parasitological,Unspecified,vl,
Brazil (BRA),-16.718362,Bone,"203",https://www.ncbi.nlm.nih.gov/pubmed/28662037,28662037,NCT01310741,"Montes Claros State University, Montes Claros",378,2017,Meglumine antimoniate,"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-43.877598,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
Brazil (BRA),-16.718362,Bone,"203",https://www.ncbi.nlm.nih.gov/pubmed/28662037,28662037,NCT01310741,"Montes Claros State University, Montes Claros",378,2017,Amphotericin B deoxycholate,"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-43.877598,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
Brazil (BRA),-16.718362,Bone,"203",https://www.ncbi.nlm.nih.gov/pubmed/28662037,28662037,NCT01310741,"Montes Claros State University, Montes Claros",378,2017,Liposomal Amphotericin B (L-AmB),"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-43.877598,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
India (IND),26.118677,,"242",,,NCT03636659; CTRI/2018/04/013350,"Kala Azar Medical Research Center, Bihar, India",140,,Liposomal Amphotericin B (L-AmB),Steady State Global Bioequivalence Study of Amphotericin B Liposome for Injection 50 mg/ Vial in Fed Condition,India Subcontinent,85.400933,Completed,"Nagesh Meda, Sajid Mohd, Subhra Lahiri, Krishna Pandey, Shyam Sunda, Dinesh Mondal","",Comparative,1,Serological,No,vl,Bangladesh
Nepal (NPL),26.80877,Unknown,"160",http://www.ncbi.nlm.nih.gov/pubmed/24941345,24941345,-9,"B. P. Koirala Institute of Health Sciences (BPKIHS), Dharan, Nepal",1016,2014,Miltefosine,Failure of miltefosine treatment for visceral leishmaniasis in children and men in South-East Asia.,India Subcontinent,87.262131,Published,"Ostyn B, Hasker E, Dorlo TP, Rijal S, Sundar S, Dujardin JC, Boelaert M.",Miltefosine,Single Group,1,Unspecified,Unspecified,vl,India
India (IND),26.118589,Spleen,"47",http://www.ncbi.nlm.nih.gov/pubmed/8627050,8627049,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",25,1996,Amphotericin B lipid complex (ABLC),Cure of antimony-unresponsive Indian visceral leishmaniasis with amphotericin B lipid complex.,India Subcontinent,85.400719,Published,"Sundar S, Murray HW.",Amphotericin B lipid complex,Dose finding,0,Parasitological,No,vl,
India (IND),25.620021,Spleen/bone,"123",http://www.ncbi.nlm.nih.gov/pubmed/8758094,8758093,-9,Patna Medical College Hospital,30,1996,Liposomal Amphotericin B (L-AmB),Comparison of three treatment regimens with liposomal amphotericin B (AmBisome) for visceral leishmaniasis in India: a randomized dose-finding study.,India Subcontinent,85.159811,Published,"Thakur CP, Pandey AK, Sinha GP, Roy S, Behbehani K, Olliaro P.",Liposomal Amphotericin B,Dose finding,0,Parasitological,No,vl,
